tokenId;minRarity;averageRarity;sumRarity;countsBelow10;countsBelow20;countsBelow50;spots;countsOld;countsMystic;countsNew;ranking
9585;5;63,5;635;2;2;4;10;1;1;2;302
4660;5;64,14285714;449;1;3;3;7;0;1;2;303
8745;5;64,5;516;2;3;3;8;2;1;0;304
6496;5;64,8;648;2;3;4;10;1;1;2;305
6206;5;65,44444444;589;2;2;4;9;1;1;2;306
8679;5;65,75;526;1;3;3;8;2;1;0;307
274;5;66;726;3;4;4;11;2;1;1;308
9549;5;66,27272727;729;1;2;4;11;1;1;2;309
7753;5;67,09090909;738;1;3;4;11;1;1;2;310
6113;5;68,4;342;1;2;2;5;0;1;1;311
7085;5;68,45454545;753;2;3;3;11;2;1;0;312
5914;5;68,75;550;1;3;3;8;2;1;0;313
5705;5;69,4;694;2;2;3;10;1;1;1;314
1421;5;69,8;349;1;1;1;5;0;1;0;315
2871;5;70,16666667;421;1;1;2;6;1;1;0;316
6261;5;70,25;562;1;2;3;8;1;1;1;317
2324;5;70,5;423;1;2;2;6;0;1;1;318
3927;5;72,11111111;649;1;2;3;9;0;1;2;319
3752;5;73;511;1;2;2;7;1;1;0;320
8800;5;73,25;293;1;1;1;4;0;1;0;321
2105;5;73,45454545;808;1;3;3;11;2;1;0;322
4581;5;73,5;735;2;3;3;10;2;1;0;323
9666;5;73,8;738;1;1;3;10;0;1;2;324
3372;5;74,42857143;521;2;2;2;7;1;1;0;325
5182;5;74,88888889;674;2;3;3;9;1;1;1;326
3428;5;75;750;1;2;3;10;0;1;2;327
3563;5;75;300;1;1;1;4;0;1;0;328
4051;5;75,54545455;831;1;3;3;11;0;1;2;329
5245;5;75,83333333;455;1;1;1;6;0;1;0;330
5171;5;76,16666667;457;1;1;2;6;0;1;1;331
7184;5;76,5;459;1;1;1;6;0;1;0;332
9094;5;77,1;771;1;2;3;10;1;1;1;333
2771;5;78,2;391;1;1;1;5;0;1;0;334
1501;5;78,54545455;864;1;2;3;11;0;1;2;335
8735;5;78,6;786;1;2;3;10;1;1;1;336
8450;5;78,72727273;866;1;2;2;11;1;1;0;337
4020;5;79,27272727;872;1;2;2;11;1;1;0;338
5108;5;79,45454545;874;1;2;3;11;0;1;2;339
4933;5;80,4;402;1;1;1;5;0;1;0;340
8229;5;80,6;806;2;2;2;10;1;1;0;341
9418;5;81,1;811;1;1;2;10;0;1;1;342
6431;5;81,27272727;894;1;2;2;11;1;1;0;343
2481;5;81,45454545;896;2;2;2;11;1;1;0;344
7504;5;81,63636364;898;2;2;2;11;1;1;0;345
6051;5;82;328;1;1;1;4;0;1;0;346
4992;5;83;415;1;1;1;5;0;1;0;347
58;5;83,54545455;919;1;1;2;11;0;1;1;348
354;5;85,33333333;512;1;1;1;6;0;1;0;349
6649;5;86,8;868;1;1;1;10;0;1;0;350
9485;5;87;696;1;1;1;8;0;1;0;351
9749;5;91,33333333;822;1;1;1;9;0;1;0;352
825;6;16,25;65;2;3;4;4;2;1;1;353
8421;6;20,625;165;3;7;7;8;5;1;1;354
3894;6;24,2;121;2;4;4;5;2;1;1;355
8698;6;33,66666667;202;1;3;5;6;2;1;2;356
9084;6;37,72727273;415;2;5;8;11;2;1;5;357
2767;6;37,75;151;1;2;3;4;1;1;1;358
8560;6;38,5;154;1;3;3;4;0;1;2;359
5831;6;42,6;213;1;2;3;5;2;1;0;360
3183;6;44,75;179;2;2;2;4;1;1;0;361
4542;6;45,6;228;1;1;3;5;0;1;2;362
1533;6;45,66666667;411;1;3;6;9;1;1;4;363
3405;6;48;240;1;2;3;5;1;1;1;364
3873;6;48,85714286;342;1;4;4;7;2;1;1;365
8143;6;49;196;1;2;2;4;1;1;0;366
1834;6;49,22222222;443;2;4;5;9;1;1;3;367
2298;6;51;408;3;4;4;8;1;1;2;368
7437;6;51,5;515;1;5;5;10;3;1;1;369
8375;6;51,63636364;568;1;4;6;11;2;1;3;370
5357;6;51,75;207;1;1;2;4;0;1;1;371
6766;6;52;364;1;3;4;7;1;1;2;372
2721;6;52,5;210;1;1;2;4;1;1;0;373
5237;6;52,57142857;368;2;2;4;7;2;1;1;374
6168;6;52,72727273;580;1;4;6;11;2;1;3;375
8480;6;53,25;213;1;2;2;4;0;1;1;376
2702;6;54;486;1;2;5;9;1;1;3;377
7871;6;54;270;1;1;3;5;0;1;2;378
263;6;54,4;272;1;1;3;5;0;1;2;379
8969;6;55,3;553;2;4;4;10;1;1;2;380
8070;6;56;336;2;2;3;6;1;1;1;381
7962;6;57,2;572;2;2;5;10;1;1;3;382
9298;6;57,22222222;515;1;4;4;9;2;1;1;383
7380;6;57,63636364;634;1;2;5;11;2;1;2;384
6961;6;59;413;1;3;3;7;1;1;1;385
9051;6;59,63636364;656;1;2;5;11;1;1;3;386
4783;6;60,25;482;1;2;4;8;1;1;2;387
6466;6;60,88888889;548;2;3;4;9;1;1;2;388
2784;6;61;671;1;3;5;11;1;1;3;389
5743;6;61,16666667;367;1;2;3;6;1;1;1;390
9616;6;61,63636364;678;2;2;5;11;1;1;3;391
894;6;61,66666667;555;1;2;4;9;0;1;3;392
251;6;62,33333333;561;1;3;5;9;1;1;3;393
5666;6;62,5;500;1;2;3;8;0;1;2;394
232;6;62,6;626;1;4;4;10;1;1;2;395
5078;6;62,71428571;439;2;3;3;7;1;1;1;396
784;6;62,72727273;690;1;3;5;11;1;1;3;397
5762;6;63,16666667;379;1;1;2;6;1;1;0;398
7794;6;63,5;635;2;2;4;10;1;1;2;399
2149;6;63,55555556;572;1;2;4;9;0;1;3;400
5434;6;64;512;2;3;3;8;2;1;0;401
5185;6;64,125;513;1;2;3;8;1;1;1;402
5284;6;64,4;322;1;2;2;5;0;1;1;403
7731;6;64,7;647;1;3;3;10;2;1;0;404
3002;6;64,8;324;2;2;2;5;1;1;0;405
2707;6;65;260;1;1;1;4;0;1;0;406
3517;6;65;455;1;2;2;7;0;1;1;407
7373;6;65;520;1;1;3;8;0;1;2;408
8968;6;65,11111111;586;1;2;3;9;0;1;2;409
3248;6;65,125;521;1;2;3;8;0;1;2;410
467;6;65,25;522;2;2;3;8;2;1;0;411
1247;6;65,6;656;2;4;4;10;2;1;1;412
9036;6;65,8;658;1;1;4;10;0;1;3;413
5001;6;66;462;1;2;3;7;1;1;1;414
6445;6;66;594;1;2;3;9;1;1;1;415
1941;6;66,1;661;3;3;4;10;2;1;1;416
1097;6;66,5;532;1;2;3;8;0;1;2;417
1719;6;66,5;665;1;3;3;10;1;1;1;418
547;6;66,66666667;600;2;2;3;9;0;1;2;419
8980;6;66,75;534;2;2;3;8;1;1;1;420
7152;6;66,9;669;1;2;4;10;1;1;2;421
277;6;67;603;2;3;3;9;2;1;0;422
785;6;67;536;1;2;3;8;1;1;1;423
2868;6;67,09090909;738;1;2;4;11;0;1;3;424
9255;6;67,25;538;1;1;3;8;0;1;2;425
2970;6;67,57142857;473;1;1;3;7;0;1;2;426
9731;6;67,72727273;745;1;3;4;11;1;1;2;427
6552;6;67,83333333;407;2;2;2;6;1;1;0;428
3636;6;68;748;1;4;4;11;2;1;1;429
2225;6;68,11111111;613;2;3;3;9;0;1;2;430
3886;6;68,18181818;750;2;3;4;11;2;1;1;431
2627;6;68,4;684;1;2;4;10;1;1;2;432
5382;6;68,42857143;479;2;2;2;7;1;1;0;433
8049;6;68,7;687;2;2;3;10;1;1;1;434
9426;6;68,90909091;758;2;3;4;11;2;1;1;435
3072;6;69,11111111;622;1;3;3;9;2;1;0;436
2668;6;69,18181818;761;1;3;4;11;2;1;1;437
5058;6;69,36363636;763;1;1;4;11;1;1;2;438
181;6;69,4;347;1;2;2;5;0;1;1;439
2504;6;69,625;557;1;2;3;8;2;1;0;440
7657;6;69,63636364;766;1;2;4;11;0;1;3;441
4350;6;69,81818182;768;1;3;4;11;2;1;1;442
821;6;70;490;1;1;3;7;0;1;2;443
4737;6;70,11111111;631;2;3;3;9;1;1;1;444
2503;6;70,22222222;632;1;1;3;9;0;1;2;445
276;6;70,83333333;425;1;1;1;6;0;1;0;446
6607;6;71,18181818;783;1;4;4;11;2;1;1;447
2004;6;71,33333333;428;1;1;2;6;0;1;1;448
1831;6;71,7;717;2;3;3;10;1;1;1;449
7704;6;71,7;717;1;2;3;10;1;1;1;450
8796;6;71,77777778;646;1;3;3;9;1;1;1;451
3534;6;71,8;718;1;2;3;10;0;1;2;452
5137;6;71,88888889;647;1;2;2;9;0;1;1;453
3176;6;72;792;1;3;4;11;2;1;1;454
6798;6;72;648;1;2;3;9;0;1;2;455
9583;6;72,11111111;649;1;1;3;9;0;1;2;456
4566;6;72,27272727;795;1;2;4;11;1;1;2;457
5591;6;72,5;580;1;2;3;8;0;1;2;458
7011;6;72,72727273;800;1;3;3;11;1;1;1;459
9027;6;72,85714286;510;1;2;2;7;1;1;0;460
5321;6;73,3;733;2;2;3;10;1;1;1;461
3202;6;73,5;294;1;1;1;4;0;1;0;462
3922;6;73,63636364;810;1;1;3;11;0;1;2;463
3735;6;73,8;369;1;1;1;5;0;1;0;464
6580;6;73,88888889;665;1;3;3;9;2;1;0;465
2031;6;74,2;742;1;2;3;10;1;1;1;466
6621;6;74,3;743;1;2;3;10;0;1;2;467
3960;6;74,90909091;824;1;1;3;11;0;1;2;468
332;6;75;675;1;1;3;9;0;1;2;469
6794;6;75,44444444;679;1;2;2;9;1;1;0;470
8870;6;75,45454545;830;1;2;3;11;0;1;2;471
4330;6;75,625;605;1;1;2;8;0;1;1;472
4224;6;75,85714286;531;1;1;2;7;1;1;0;473
3199;6;75,9;759;1;1;3;10;0;1;2;474
7699;6;76,57142857;536;1;1;1;7;0;1;0;475
6233;6;76,9;769;1;2;3;10;1;1;1;476
4715;6;77,16666667;463;1;1;1;6;0;1;0;477
4832;6;77,2;772;1;1;3;10;0;1;2;478
8366;6;77,33333333;696;1;1;2;9;0;1;1;479
4015;6;77,36363636;851;1;2;3;11;1;1;1;480
6745;6;77,44444444;697;1;1;2;9;0;1;1;481
9587;6;77,5;310;1;1;1;4;0;1;0;482
7846;6;78,5;628;1;1;2;8;0;1;1;483
9200;6;78,75;315;1;1;1;4;0;1;0;484
8811;6;78,77777778;709;1;1;1;9;0;1;0;485
